S.No.	Company Name	Industry	NSE Sector	Symbol
361	PNB Housing Finance Ltd.	Financial Services	Financial Services	PNBHOUSING
362	PTC Industries Ltd.	Capital Goods	Capital Goods	PTCIL
363	PVR INOX Ltd.	Media Entertainment & Publication	Media Entertainment & Publication	PVRINOX
364	Page Industries Ltd.	Textiles	Textiles	PAGEIND
365	Paradeep Phosphates Ltd.	Chemicals	Chemicals	PARADEEP
366	Patanjali Foods Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	PATANJALI
367	Persistent Systems Ltd.	Information Technology	Information Technology	PERSISTENT
368	Petronet LNG Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	PETRONET
369	Pfizer Ltd.	Healthcare	Healthcare	PFIZER
370	Phoenix Mills Ltd.	Realty	Realty	PHOENIXLTD
371	Physicswallah Ltd.	Consumer Services	Consumer Services	PWL
372	Pidilite Industries Ltd.	Chemicals	Chemicals	PIDILITIND
373	Pine Labs Ltd.	Financial Services	Financial Services	PINELABS
374	Piramal Finance Ltd.	Financial Services	Financial Services	PIRAMALFIN
375	Piramal Pharma Ltd.	Healthcare	Healthcare	PPLPHARMA
376	Poly Medicure Ltd.	Healthcare	Healthcare	POLYMED
377	Polycab India Ltd.	Capital Goods	Capital Goods	POLYCAB
378	Poonawalla Fincorp Ltd.	Financial Services	Financial Services	POONAWALLA
379	Power Finance Corporation Ltd.	Financial Services	Financial Services	PFC
380	Power Grid Corporation of India Ltd.	Power	Power	POWERGRID
381	Premier Energies Ltd.	Capital Goods	Capital Goods	PREMIERENE
382	Prestige Estates Projects Ltd.	Realty	Realty	PRESTIGE
383	Prime Focus Ltd.	Media Entertainment & Publication	Media Entertainment & Publication	PFOCUS
384	Punjab National Bank	Financial Services	Financial Services	PNB
385	R R Kabel Ltd.	Capital Goods	Capital Goods	RRKABEL
386	RBL Bank Ltd.	Financial Services	Financial Services	RBLBANK
387	REC Ltd.	Financial Services	Financial Services	RECLTD
388	RHI MAGNESITA INDIA LTD.	Capital Goods	Capital Goods	RHIM
389	RITES Ltd.	Construction	Construction	RITES
390	Radico Khaitan Ltd	Fast Moving Consumer Goods	Fast Moving Consumer Goods	RADICO
391	Rail Vikas Nigam Ltd.	Construction	Construction	RVNL
392	Railtel Corporation Of India Ltd.	Telecommunication	Telecommunication	RAILTEL
393	Rainbow Childrens Medicare Ltd.	Healthcare	Healthcare	RAINBOW
394	Ramkrishna Forgings Ltd.	Automobile and Auto Components	Automobile and Auto Components	RKFORGE
395	Redington Ltd.	Services	Services	REDINGTON
396	Reliance Industries Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	RELIANCE
397	Reliance Power Ltd.	Power	Power	RPOWER
398	SBFC Finance Ltd.	Financial Services	Financial Services	SBFC
399	SBI Cards and Payment Services Ltd.	Financial Services	Financial Services	SBICARD
400	SBI Life Insurance Company Ltd.	Financial Services	Financial Services	SBILIFE
401	SJVN Ltd.	Power	Power	SJVN
402	SRF Ltd.	Chemicals	Chemicals	SRF
403	Sagility Ltd.	Information Technology	Information Technology	SAGILITY
404	Sai Life Sciences Ltd.	Healthcare	Healthcare	SAILIFE
405	Sammaan Capital Ltd.	Financial Services	Financial Services	SAMMAANCAP
406	Samvardhana Motherson International Ltd.	Automobile and Auto Components	Automobile and Auto Components	MOTHERSON
407	Sapphire Foods India Ltd.	Consumer Services	Consumer Services	SAPPHIRE
408	Sarda Energy and Minerals Ltd.	Metals & Mining	Metals & Mining	SARDAEN
409	Saregama India Ltd	Media Entertainment & Publication	Media Entertainment & Publication	SAREGAMA
410	Schaeffler India Ltd.	Automobile and Auto Components	Automobile and Auto Components	SCHAEFFLER
411	Schneider Electric Infrastructure Ltd.	Capital Goods	Capital Goods	SCHNEIDER
412	Shipping Corporation of India Ltd.	Services	Services	SCI
413	Shree Cement Ltd.	Construction Materials	Construction Materials	SHREECEM
414	Shriram Finance Ltd.	Financial Services	Financial Services	SHRIRAMFIN
415	Shyam Metalics and Energy Ltd.	Capital Goods	Capital Goods	SHYAMMETL
416	Siemens Energy India Ltd.	Capital Goods	Capital Goods	ENRIN
417	Siemens Ltd.	Capital Goods	Capital Goods	SIEMENS
418	Signatureglobal (India) Ltd.	Realty	Realty	SIGNATURE
419	Sobha Ltd.	Realty	Realty	SOBHA
420	Solar Industries India Ltd.	Chemicals	Chemicals	SOLARINDS
421	Sona BLW Precision Forgings Ltd.	Automobile and Auto Components	Automobile and Auto Components	SONACOMS
422	Sonata Software Ltd.	Information Technology	Information Technology	SONATSOFTW
423	Star Health and Allied Insurance Company Ltd.	Financial Services	Financial Services	STARHEALTH
424	State Bank of India	Financial Services	Financial Services	SBIN
425	Steel Authority of India Ltd.	Metals & Mining	Metals & Mining	SAIL
426	Sumitomo Chemical India Ltd.	Chemicals	Chemicals	SUMICHEM
427	Sun Pharmaceutical Industries Ltd.	Healthcare	Healthcare	SUNPHARMA
428	Sun TV Network Ltd.	Media Entertainment & Publication	Media Entertainment & Publication	SUNTV
429	Sundaram Finance Ltd.	Financial Services	Financial Services	SUNDARMFIN
430	Supreme Industries Ltd.	Capital Goods	Capital Goods	SUPREMEIND
431	Supreme Petrochem Ltd.	Chemicals	Chemicals	SPLPETRO
432	Suzlon Energy Ltd.	Capital Goods	Capital Goods	SUZLON
433	Swan Corp Ltd.	Chemicals	Chemicals	SWANCORP
434	Swiggy Ltd.	Consumer Services	Consumer Services	SWIGGY
435	Syngene International Ltd.	Healthcare	Healthcare	SYNGENE
436	Syrma SGS Technology Ltd.	Capital Goods	Capital Goods	SYRMA
437	TBO Tek Ltd.	Consumer Services	Consumer Services	TBOTEK
438	TVS Motor Company Ltd.	Automobile and Auto Components	Automobile and Auto Components	TVSMOTOR
439	Tata Capital Ltd.	Financial Services	Financial Services	TATACAP
440	Tata Chemicals Ltd.	Chemicals	Chemicals	TATACHEM
441	Tata Communications Ltd.	Telecommunication	Telecommunication	TATACOMM
442	Tata Consultancy Services Ltd.	Information Technology	Information Technology	TCS
443	Tata Consumer Products Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	TATACONSUM
444	Tata Elxsi Ltd.	Information Technology	Information Technology	TATAELXSI
445	Tata Investment Corporation Ltd.	Financial Services	Financial Services	TATAINVEST
446	Tata Motors Ltd.	Capital Goods	Capital Goods	TMCV
447	Tata Motors Passenger Vehicles Ltd.	Automobile and Auto Components	Automobile and Auto Components	TMPV
448	Tata Power Co. Ltd.	Power	Power	TATAPOWER
449	Tata Steel Ltd.	Metals & Mining	Metals & Mining	TATASTEEL
450	Tata Technologies Ltd.	Information Technology	Information Technology	TATATECH
451	Tata Teleservices (Maharashtra) Ltd.	Telecommunication	Telecommunication	TTML
452	Tech Mahindra Ltd.	Information Technology	Information Technology	TECHM
453	Techno Electric & Engineering Company Ltd.	Construction	Construction	TECHNOE
454	Tega Industries Ltd.	Capital Goods	Capital Goods	TEGA
455	Tejas Networks Ltd.	Telecommunication	Telecommunication	TEJASNET
456	Tenneco Clean Air India Ltd.	Automobile and Auto Components	Automobile and Auto Components	TENNIND
457	The New India Assurance Company Ltd.	Financial Services	Financial Services	NIACL
458	The Ramco Cements Ltd.	Construction Materials	Construction Materials	RAMCOCEM
459	Thermax Ltd.	Capital Goods	Capital Goods	THERMAX
460	Timken India Ltd.	Capital Goods	Capital Goods	TIMKEN
461	Titagarh Rail Systems Ltd.	Capital Goods	Capital Goods	TITAGARH
462	Titan Company Ltd.	Consumer Durables	Consumer Durables	TITAN
463	Torrent Pharmaceuticals Ltd.	Healthcare	Healthcare	TORNTPHARM
464	Torrent Power Ltd.	Power	Power	TORNTPOWER
465	Transformers And Rectifiers (India) Ltd.	Capital Goods	Capital Goods	TARIL
